subject_difficulty,semantic_score,literal_score,time_taken,correct,user_id,skill_name
0.6,0.8,0.7,15,1,3,historical context
0.5,0.7,0.6,18,0,6,historical research
0.7,0.6,0.8,22,1,5,chronology
0.4,0.9,0.5,25,1,2,impact assessment
0.8,0.5,0.9,20,0,2,historiography
0.3,0.8,0.7,18,1,3,political movements
0.6,0.7,0.6,23,0,3,historical analysis
0.5,0.6,0.8,17,1,7,critical thinking
0.7,0.9,0.5,21,1,6,secondary sources
0.4,0.5,0.9,19,0,7,chronology
0.8,0.7,0.6,22,0,6,impact assessment
0.5,0.6,0.8,20,0,4,impact assessment
0.7,0.9,0.5,24,1,4,critical thinking
0.4,0.5,0.9,18,0,2,historical analysis
0.6,0.8,0.7,25,1,7,interpretation
0.3,0.7,0.6,19,0,1,historical context
0.5,0.6,0.8,23,0,5,primary sources
0.4,0.9,0.5,21,1,1,historical research
0.7,0.5,0.9,17,0,2,interpretation
0.8,0.6,0.7,20,0,7,chronology
0.6,0.7,0.8,18,0,1,interpretation
0.4,0.8,0.9,21,1,3,historical events
0.7,0.6,0.7,23,0,5,historical figures
0.5,0.9,0.5,20,1,2,historical events
0.8,0.5,0.6,22,0,3,historical events
0.6,0.7,0.8,19,0,5,cause and effect
0.4,0.8,0.9,25,1,2,historical events
0.7,0.6,0.7,17,0,6,secondary sources
0.5,0.9,0.5,24,1,2,primary sources
0.8,0.5,0.6,20,0,1,historical context
0.6,0.8,0.7,15,1,4,impact assessment
0.5,0.7,0.6,18,0,6,impact assessment
0.7,0.6,0.8,22,0,6,historical analysis
0.4,0.9,0.5,25,1,5,secondary sources
0.8,0.5,0.9,20,0,6,social structures
0.3,0.8,0.7,18,1,7,chronology
0.6,0.7,0.6,23,0,1,primary sources
0.5,0.6,0.8,17,0,2,historical figures
0.7,0.9,0.5,21,1,4,chronology
0.4,0.5,0.9,19,0,4,secondary sources
0.8,0.7,0.6,22,0,4,historical context
0.5,0.6,0.8,20,0,5,historical analysis
0.7,0.9,0.5,24,1,5,primary sources
0.4,0.5,0.9,18,0,4,primary sources
0.8,0.5,0.6,22,0,4,historiography
0.6,0.7,0.8,19,0,6,historical context
0.4,0.8,0.9,25,1,7,primary sources
0.7,0.6,0.7,17,0,4,cultural developments
0.5,0.9,0.5,24,1,3,primary sources
0.8,0.5,0.6,20,0,4,interpretation
0.6,0.8,0.7,15,1,6,political movements
0.5,0.7,0.6,18,0,7,historical figures
0.7,0.6,0.8,22,0,2,primary sources
0.4,0.9,0.5,25,1,5,historical analysis
0.8,0.5,0.9,20,0,7,historical figures
0.3,0.8,0.7,18,0,6,cultural developments
0.6,0.7,0.6,23,0,1,historical research
0.5,0.6,0.8,17,0,2,chronology
0.7,0.9,0.5,21,1,5,social structures
0.4,0.5,0.9,19,0,3,critical thinking
0.8,0.7,0.6,22,0,7,impact assessment
0.5,0.6,0.8,20,0,1,critical thinking
0.7,0.9,0.5,24,1,3,historical research
0.4,0.5,0.9,18,0,7,historical research
0.8,0.5,0.6,22,0,2,political movements
0.6,0.7,0.8,19,0,5,historical research
0.4,0.8,0.9,25,1,1,cultural developments
0.7,0.6,0.7,17,0,3,political movements
0.5,0.9,0.5,24,1,3,cultural developments
0.8,0.5,0.6,20,0,3,historical events
0.6,0.8,0.7,15,1,4,historical figures
0.5,0.7,0.6,18,0,1,historical figures
0.7,0.6,0.8,22,0,2,historical figures
0.4,0.9,0.5,25,1,2,impact assessment
0.8,0.5,0.9,20,0,1,interpretation
0.3,0.8,0.7,18,1,1,cultural developments
0.6,0.7,0.6,23,0,3,historiography
0.5,0.6,0.8,17,0,1,historical figures
0.7,0.9,0.5,21,1,2,impact assessment
0.4,0.5,0.9,19,0,6,historical events
0.8,0.7,0.6,22,0,1,historiography
0.5,0.6,0.8,20,0,2,secondary sources
0.7,0.9,0.5,24,1,5,primary sources
0.4,0.5,0.9,18,0,1,historiography
0.8,0.5,0.6,22,0,4,critical thinking
0.6,0.7,0.8,19,0,5,historical context
0.4,0.8,0.9,25,1,2,historical events
0.7,0.6,0.7,17,0,6,historical analysis
0.5,0.9,0.5,24,1,3,historical figures
0.8,0.5,0.6,20,0,7,historical research
0.6,0.8,0.7,15,1,4,historiography
0.5,0.7,0.6,18,0,5,political movements
0.7,0.6,0.8,22,0,5,secondary sources
0.4,0.9,0.5,25,1,1,historiography
0.8,0.5,0.9,20,0,3,social structures
0.3,0.8,0.7,18,1,4,historical context
0.6,0.7,0.6,23,0,7,social structures
0.5,0.6,0.8,17,0,6,cultural developments
0.7,0.9,0.5,21,1,3,cause and effect
0.4,0.5,0.9,19,0,4,historical analysis
